gcc -fopenmp -c src/main.c
gcc -fopenmp -c src/parallel_tasks.c
gcc -fopenmp -c src/utilities.c
gcc -fopenmp -lm -g -o schooling main.o parallel_tasks.o utilities.o
rm -f *.o
Fish #	x	y	w
807	36.00	-54.05	78.14
808	63.63	79.85	73.34
809	-47.24	-81.45	72.66
810	-56.20	-99.31	71.23
811	-76.58	-71.00	72.36
812	81.73	-67.17	74.28
813	30.66	28.94	73.82
814	-14.09	97.11	74.00
815	-64.33	72.15	70.87
816	89.97	50.99	70.33
817	91.01	-33.27	72.92
818	-12.11	75.54	71.54
819	-63.48	-87.07	70.14
820	-47.23	72.06	72.94
821	-47.58	-15.93	71.15
822	33.54	86.82	71.08
823	30.01	-1.43	72.28
824	66.27	83.97	71.23
825	16.53	-91.93	74.11
826	83.86	40.15	75.07
827	-61.53	65.19	67.80
828	71.58	69.13	69.59
829	-6.47	-43.11	76.31
830	65.84	30.20	73.09
831	-68.96	57.01	73.47
832	-18.81	-79.15	67.15
833	-77.46	69.48	71.92
834	96.60	-40.54	70.68
835	81.82	-48.83	68.09
836	-68.68	-66.76	76.82
837	33.84	64.66	71.03
838	-79.14	-34.95	71.91
839	-36.76	85.93	70.48
840	-52.78	80.16	69.83
841	95.01	-69.12	74.38
842	20.31	-65.52	73.33
843	96.07	-8.91	72.62
844	-97.79	-11.20	75.73
845	48.57	69.85	72.89
846	-79.40	77.81	74.58
847	26.06	1.80	72.77
848	98.87	50.40	71.58
849	-28.92	96.66	72.87
850	-91.14	-47.50	71.70
851	-52.17	-58.62	70.06
852	-13.86	81.07	71.64
853	-94.15	6.61	74.52
854	-56.08	-30.92	76.23
855	-8.66	-8.06	69.93
856	-51.56	-11.85	72.75
857	23.21	68.76	75.37
858	19.62	17.08	71.95
859	-41.36	23.03	71.56
860	-93.91	-93.18	70.98
861	-7.72	-72.91	75.76
862	85.63	-80.87	74.68
863	27.89	85.10	72.41
864	68.13	99.57	75.43
865	81.56	76.79	69.98
866	-46.53	-70.61	74.97
867	-82.22	36.81	73.75
868	-89.94	-75.77	71.30
869	-56.58	-45.62	66.64
870	-4.89	36.36	72.35
871	45.91	41.55	73.65
872	-77.69	-32.47	72.64
873	10.71	43.33	72.75
874	85.41	69.35	69.72
